,Sentence,Output
17,"The Toyota Prius hybrid vehicles manufactured between 2012 and 2017 have been found to have faulty battery packs that can pose a fire hazard. The defective battery packs can overheat during charging, potentially leading to spontaneous combustion. Toyota will be issuing a recall to replace the defective battery packs and ensure the safety of the vehicle owners. Owners of the affected Prius models should contact Toyota immediately for the necessary corrective measures. The recall program will kick off on November 10, 2021.","[{'Entity': 'battery packs', 'Label': 'Component'}, {'Entity': 'fire hazard', 'Label': 'Failure_issue'}, {'Entity': 'overheat', 'Label': 'Failure_issue'}, {'Entity': 'spontaneous combustion', 'Label': 'Failure_issue'}, {'Entity': 'recall', 'Label': 'Corrective_action'}, {'Entity': 'Toyota', 'Label': 'Manufacturer'}, {'Entity': 'November 10, 2021', 'Label': 'Recall_date'}]"
18,"The Chevrolet Silverado trucks from 2016 to 2020 models have been identified to have potential issues with the steering column. The faulty steering columns can cause sudden loss of control over the vehicle, posing a significant risk to the driver and passengers. Chevrolet has decided to issue a recall to address the steering column problem and carry out necessary repairs free of charge. Owners of the affected Silverado trucks are urged to contact Chevrolet immediately for corrective action. The recall initiative will start on August 20, 2021.","[{'Entity': 'steering column', 'Label': 'Component'}, {'Entity': 'issues', 'Label': 'Failure_issue'}, {'Entity': 'loss of control', 'Label': 'Failure_issue'}, {'Entity': 'risk to the driver and passengers', 'Label': 'Failure_issue'}, {'Entity': 'recall', 'Label': 'Corrective_action'}, {'Entity': 'Chevrolet', 'Label': 'Manufacturer'}, {'Entity': 'August 20, 2021', 'Label': 'Recall_date'}]"
19,"The Mercedes-Benz E-Class sedans produced between 2018 and 2021 are facing issues with the airbag deployment system. Malfunctioning airbag deployment can result in injuries to the occupants during a collision. Mercedes-Benz has announced a voluntary recall of the affected E-Class models to rectify the airbag deployment problem without any extra cost. Owners of the impacted vehicles should reach out to Mercedes-Benz for prompt corrective measures. The recall process is scheduled to commence on July 30, 2021.","[{'Entity': 'airbag deployment system', 'Label': 'Component'}, {'Entity': 'issues', 'Label': 'Failure_issue'}, {'Entity': 'injuries', 'Label': 'Failure_issue'}, {'Entity': 'collision', 'Label': 'Failure_issue'}, {'Entity': 'recall', 'Label': 'Corrective_action'}, {'Entity': 'Mercedes-Benz', 'Label': 'Manufacturer'}, {'Entity': 'July 30, 2021', 'Label': 'Recall_date'}]"
20,"The excessive load on the rear axle can lead to the deformation of the suspension components and exacerbation of the stress on the axle housing. This increased stress may cause the fracture of bolts securing the axle housing to the chassis frame rail, or even the collapse of the axle housing support system. There is a risk of damage to brake lines and electrical wiring, potentially resulting in a fire.","[{'Entity': 'deformation of the suspension components', 'Label': 'Failure_issue'}, {'Entity': 'exacerbation of the stress', 'Label': 'Failure_issue'}, {'Entity': 'axle housing', 'Label': 'Component'}, {'Entity': 'fracture of bolts', 'Label': 'Failure_issue'}, {'Entity': 'chassis frame rail', 'Label': 'Component'}, {'Entity': 'axle housing support system', 'Label': 'Component'}, {'Entity': 'damage to brake lines', 'Label': 'Failure_issue'}, {'Entity': 'electrical wiring', 'Label': 'Component'}]"
21,"DANA SPICER TANDEM DRIVE AXLE MODELS DS463 AND DS521 EQUIPPED WITH DANA WELDED SUSPENSION BRACKETS FOR USED WITH CHALMERS SUSPENSION MANUFACTURED BETWEEN NOVEMBER 1, 1998, AND DECEMBER 31, 2001. AN UNDERSIZED ATTACHMENT WELD MAY FRACTURE WITHOUT WARNING. THE WELD FRACTURE MAY RESULT IN A LOSS OF VEHICLE CONTROL, POSSIBLY RESULTING IN A VEHICLE CRASH WITHOUT PRIOR WARNING. DANA WILL NOTIFY PACCAR/KENWORTH'S CUSTOMERS AND INSPECT AND REPAIR THE AXLE WELDS FREE OF CHARGE. OWNER NOTIFICATION BEGAN JULY 25, 2002.","[{'Entity': 'UNDERSIZED ATTACHMENT WELD', 'Label': 'Component'}, {'Entity': 'FRACTURE', 'Label': 'Failure_issue'}, {'Entity': 'LOSS OF VEHICLE CONTROL, POSSIBLY RESULTING IN A VEHICLE CRASH WITHOUT PRIOR WARNING', 'Label': 'Failure_issue'}, {'Entity': 'PACCAR/KENWORTH', 'Label': 'Manufacturer'}, {'Entity': 'INSPECT AND REPAIR THE AXLE WELDS FREE OF CHARGE', 'Label': 'Corrective_action'}, {'Entity': 'JULY 25, 2002', 'Label': 'Recall_date'}]"
22,"ON CERTAIN MOTORCYCLES EQUIPPED WITH OPTIONAL BRAKE ROTOR-CARRIERS,THE ROTOR-CARRIERS CAN CRACK WHILE IN SERVICE AND POSSIBLY BREAK. THIS CAN CAUSE A PARTIAL LOSS OF THE BRAKE SYSTEM OR THE POTENTIAL FOR ROTOR-CARRIER DETACHMENT, WHICH COULD RESULT IN A CRASH.","[{'Entity': 'ROTOR-CARRIERS', 'Label': 'Component'}, {'Entity': 'CRACK', 'Label': 'Failure_issue'}, {'Entity': 'POSSIBLY BREAK', 'Label': 'Failure_issue'}, {'Entity': 'PARTIAL LOSS OF THE BRAKE SYSTEM', 'Label': 'Failure_issue'}, {'Entity': 'ROTOR-CARRIER DETACHMENT', 'Label': 'Failure_issue'}, {'Entity': 'CRASH', 'Label': 'Failure_issue'}]"
23,"The excessive load on the rear axle can lead to the deformation of the suspension components and exacerbation of the stress on the axle housing. There is a risk of damage to brake lines and electrical wiring, potentially resulting in a fire.","[{'Entity': 'deformation of the suspension components', 'Label': 'Failure_issue'}, {'Entity': 'exacerbation of the stress', 'Label': 'Failure_issue'}, {'Entity': 'axle housing', 'Label': 'Component'}, {'Entity': 'damage to brake lines', 'Label': 'Failure_issue'}, {'Entity': 'electrical wiring', 'Label': 'Component'}, {'Entity': 'fire', 'Label': 'Failure_issue'}]"
24,"DANA SPICER TANDEM DRIVE AXLE MODELS DS463 AND DS521 equipped with Dana welded suspension brackets manufactured between November 1, 1998, and December 31, 2001, may face an undersized attachment weld fracture without warning. The weld fracture may result in a loss of vehicle control, possibly leading to a vehicle crash without prior warning. Dana will notify PACCAR/Kenworth's customers for inspection and free repair of the axle welds.","[{'Entity': 'undersized attachment weld', 'Label': 'Component'}, {'Entity': 'fracture', 'Label': 'Failure_issue'}, {'Entity': 'weld fracture', 'Label': 'Failure_issue'}, {'Entity': 'loss of vehicle control', 'Label': 'Failure_issue'}, {'Entity': 'PACCAR/Kenworth', 'Label': 'Manufacturer'}, {'Entity': 'inspection and repair the axle welds free of charge', 'Label': 'Corrective_action'}, {'Entity': 'July 25, 2002', 'Label': 'Recall_date'}]"
25,"On certain motorcycles equipped with optional brake rotor-carriers, the rotor-carriers can crack while in service and possibly break, which can cause a partial loss of the brake system or the potential for rotor-carrier detachment, leading to a crash. Dealers will replace the rotor-carrier assembly.","[{'Entity': 'rotor-carriers', 'Label': 'Component'}, {'Entity': 'crack', 'Label': 'Failure_issue'}, {'Entity': 'possibly break', 'Label': 'Failure_issue'}, {'Entity': 'partial loss of the brake system', 'Label': 'Failure_issue'}, {'Entity': 'rotor-carrier detachment', 'Label': 'Failure_issue'}, {'Entity': 'crash', 'Label': 'Failure_issue'}, {'Entity': 'dealers will replace the rotor-carrier assembly', 'Label': 'Corrective_action'}, {'Entity': 'January 26, 2004', 'Label': 'Recall_date'}]"
26,A popular SUV model's faulty brakes can lead to a sudden failure while driving and may result in a dangerous situation for the passengers. The manufacturer has issued a recall for all vehicles produced between 2018 and 2020.,"[{'Entity': 'faulty brakes', 'Label': 'Component'}, {'Entity': 'sudden failure', 'Label': 'Failure_issue'}, {'Entity': 'dangerous situation', 'Label': 'Failure_issue'}, {'Entity': 'manufacturer', 'Label': 'Manufacturer'}, {'Entity': 'recall for all vehicles produced between 2018 and 2020', 'Label': 'Corrective_action'}]"
27,"The high-performance sports car's engine components are prone to overheating during extreme driving conditions, leading to a potential breakdown on the race track. The manufacturer advises owners to bring in their vehicles for a cooling system upgrade.","[{'Entity': 'engine components', 'Label': 'Component'}, {'Entity': 'overheating', 'Label': 'Failure_issue'}, {'Entity': 'potential breakdown on the race track', 'Label': 'Failure_issue'}, {'Entity': 'manufacturer', 'Label': 'Manufacturer'}, {'Entity': 'cooling system upgrade', 'Label': 'Corrective_action'}]"
28,"The excessive load on the rear axle can lead to the deformation of the suspension components and exacerbation of the stress on the axle housing. This increased stress may cause the fracture of bolts securing the axle housing to the chassis frame rail, or even the collapse of the axle housing support system. There is a risk of damage to brake lines and electrical wiring, potentially resulting in a fire.","[{'Entity': 'deformation of the suspension components', 'Label': 'Failure_issue'}, {'Entity': 'exacerbation of the stress', 'Label': 'Failure_issue'}, {'Entity': 'axle housing', 'Label': 'Component'}, {'Entity': 'fracture of bolts', 'Label': 'Failure_issue'}, {'Entity': 'chassis frame rail', 'Label': 'Component'}, {'Entity': 'axle housing support system', 'Label': 'Component'}, {'Entity': 'damage to brake lines', 'Label': 'Failure_issue'}, {'Entity': 'electrical wiring', 'Label': 'Component'}, {'Entity': 'fire', 'Label': 'Failure_issue'}]"
29,"DANA SPICER TANDEM DRIVE AXLE MODELS DS463 AND DS521 equipped with Dana welded suspension brackets for use with Chalmers suspension manufactured between November 1, 1998, and December 31, 2001. An undersized attachment weld may fracture without warning. The weld fracture may result in a loss of vehicle control, possibly resulting in a vehicle crash without prior warning. Dana will notify PACCAR/Kenworth's customers and inspect and repair the axle welds free of charge. Owner notification began July 25, 2002.","[{'Entity': 'undersized attachment weld', 'Label': 'Component'}, {'Entity': 'fracture', 'Label': 'Failure_issue'}, {'Entity': 'weld fracture', 'Label': 'Failure_issue'}, {'Entity': 'loss of vehicle control, possibly resulting in a vehicle crash without prior warning', 'Label': 'Failure_issue'}, {'Entity': 'PACCAR/Kenworth', 'Label': 'Manufacturer'}, {'Entity': 'inspect and repair the axle welds free of charge', 'Label': 'Corrective_action'}, {'Entity': 'July 25, 2002', 'Label': 'Recall_date'}]"
30,"On certain motorcycles equipped with optional brake rotor-carriers, the rotor-carriers can crack while in service and possibly break. This can cause a partial loss of the brake system or the potential for rotor-carrier detachment, which could result in a crash. Dealers will replace the rotor-carrier assembly. Owner notification began January 26, 2004.","[{'Entity': 'rotor-carriers', 'Label': 'Component'}, {'Entity': 'crack', 'Label': 'Failure_issue'}, {'Entity': 'possibly break', 'Label': 'Failure_issue'}, {'Entity': 'partial loss of the brake system', 'Label': 'Failure_issue'}, {'Entity': 'rotor-carrier detachment', 'Label': 'Failure_issue'}, {'Entity': 'crash', 'Label': 'Failure_issue'}, {'Entity': 'dealers will replace the rotor-carrier assembly', 'Label': 'Corrective_action'}, {'Entity': 'January 26, 2004', 'Label': 'Recall_date'}]"
31,"The failure of the transmission system in the Ford Mustang GT model 2020 can result in a sudden loss of power while driving on the highway, posing a serious safety risk to the driver and passengers. Ford has issued a recall for all affected vehicles and will replace the faulty transmission system free of charge. Owners of the Ford Mustang GT 2020 should contact Ford at 1-800-123-4567 for more information.","[{'Entity': 'transmission system', 'Label': 'Component'}, {'Entity': 'failure', 'Label': 'Failure_issue'}, {'Entity': 'Ford Mustang GT model 2020', 'Label': 'Vehicle_model'}, {'Entity': 'recall', 'Label': 'Corrective_action'}, {'Entity': 'Ford', 'Label': 'Manufacturer'}, {'Entity': '1-800-123-4567', 'Label': 'Recall_date'}]"
32,"The Toyota Camry hybrid 2018 may experience a defect in the braking system, leading to reduced braking efficiency and increased stopping distances. This issue poses a significant safety hazard to the driver and occupants of the vehicle. Toyota will conduct a voluntary recall to address the brake system issue and ensure the safety of the Camry hybrid 2018 owners.","[{'Entity': 'braking system', 'Label': 'Component'}, {'Entity': 'defect', 'Label': 'Failure_issue'}, {'Entity': 'Toyota Camry hybrid 2018', 'Label': 'Vehicle_model'}, {'Entity': 'voluntary recall', 'Label': 'Corrective_action'}, {'Entity': 'Toyota', 'Label': 'Manufacturer'}]"
33,"The BMW X5 SUV 2019 has been found to have a manufacturing defect in the airbag system, which may fail to deploy in the event of a collision. This poses a serious safety risk to the occupants of the vehicle. BMW has initiated a recall to replace the faulty airbags and ensure the safety of all X5 SUV 2019 owners.","[{'Entity': 'airbag system', 'Label': 'Component'}, {'Entity': 'manufacturing defect', 'Label': 'Failure_issue'}, {'Entity': 'BMW X5 SUV 2019', 'Label': 'Vehicle_model'}, {'Entity': 'recall', 'Label': 'Corrective_action'}, {'Entity': 'BMW', 'Label': 'Manufacturer'}]"
34,"The Honda Civic 2017 model has been identified with a fault in the steering mechanism, resulting in sudden loss of control and potential accidents. Honda has issued a recall for all Civic 2017 vehicles to address the steering issue and ensure the safety of the drivers and passengers.","[{'Entity': 'steering mechanism', 'Label': 'Component'}, {'Entity': 'fault', 'Label': 'Failure_issue'}, {'Entity': 'Honda Civic 2017', 'Label': 'Vehicle_model'}, {'Entity': 'recall', 'Label': 'Corrective_action'}, {'Entity': 'Honda', 'Label': 'Manufacturer'}]"
35,"The Chevrolet Silverado 1500 2020 trucks may have a defect in the fuel line, leading to potential fuel leaks and fire hazards. This poses a significant risk to the safety of the vehicle occupants. Chevrolet has issued a recall for all affected Silverado 1500 2020 trucks and will repair the faulty fuel lines at no cost to the owners.","[{'Entity': 'fuel line', 'Label': 'Component'}, {'Entity': 'defect', 'Label': 'Failure_issue'}, {'Entity': 'Chevrolet Silverado 1500 2020', 'Label': 'Vehicle_model'}, {'Entity': 'recall', 'Label': 'Corrective_action'}, {'Entity': 'Chevrolet', 'Label': 'Manufacturer'}]"
36,"The excessive load on the rear axle can lead to the deformation of the suspension components and exacerbation of the stress on the axle housing. This increased stress may cause the fracture of bolts securing the axle housing to the chassis frame rail, or even the collapse of the axle housing support system. There is a risk of damage to brake lines and electrical wiring, potentially resulting in a fire.","[{'Entity': 'deformation of the suspension components', 'Label': 'Failure_issue'}, {'Entity': 'exacerbation of the stress', 'Label': 'Failure_issue'}, {'Entity': 'axle housing', 'Label': 'Component'}, {'Entity': 'fracture of bolts', 'Label': 'Failure_issue'}, {'Entity': 'chassis frame rail', 'Label': 'Component'}, {'Entity': 'axle housing support system', 'Label': 'Component'}, {'Entity': 'damage to brake lines', 'Label': 'Failure_issue'}, {'Entity': 'electrical wiring', 'Label': 'Component'}, {'Entity': 'fire', 'Label': 'Failure_issue'}]"
37,"DANA SPICER TANDEM DRIVE AXLE MODELS DS463 AND DS521 EQUIPPED WITH DANA WELDED SUSPENSION BRACKETS FOR USED WITH CHALMERS SUSPENSION MANUFACTURED BETWEEN NOVEMBER 1, 1998, AND DECEMBER 31, 2001. AN UNDERSIZED ATTACHMENT WELD MAY FRACTURE WITHOUT WARNING. THE WELD FRACTURE MAY RESULT IN A LOSS OF VEHICLE CONTROL, POSSIBLY RESULTING IN A VEHICLE CRASH WITHOUT PRIOR WARNING. DANA WILL NOTIFY PACCAR/KENWORTH'S CUSTOMERS AND INSPECT AND REPAIR THE AXLE WELDS FREE OF CHARGE. OWNER NOTIFICATION BEGAN JULY 25, 2002.","[{'Entity': 'UNDERSIZED ATTACHMENT WELD', 'Label': 'Component'}, {'Entity': 'FRACTURE', 'Label': 'Failure_issue'}, {'Entity': 'WELD FRACTURE', 'Label': 'Failure_issue'}, {'Entity': 'LOSS OF VEHICLE CONTROL, POSSIBLY RESULTING IN A VEHICLE CRASH WITHOUT PRIOR WARNING', 'Label': 'Failure_issue'}, {'Entity': 'PACCAR/KENWORTH', 'Label': 'Manufacturer'}, {'Entity': 'INSPECT AND REPAIR THE AXLE WELDS FREE OF CHARGE', 'Label': 'Corrective_action'}, {'Entity': 'JULY 25, 2002', 'Label': 'Recall_date'}]"
38,"ON CERTAIN MOTORCYCLES EQUIPPED WITH OPTIONAL BRAKE ROTOR-CARRIERS,THE ROTOR-CARRIERS CAN CRACK WHILE IN SERVICE AND POSSIBLY BREAK. THIS CAN CAUSE A PARTIAL LOSS OF THE BRAKE SYSTEM OR THE POTENTIAL FOR ROTOR-CARRIER DETACHMENT, WHICH COULD RESULT IN A CRASH. DEALERS WILL REPLACE THE ROTOR-CARRIER ASSEMBLY. OWNER NOTIFICATION BEGAN JANUARY 26, 2004.","[{'Entity': 'ROTOR-CARRIERS', 'Label': 'Component'}, {'Entity': 'CRACK', 'Label': 'Failure_issue'}, {'Entity': 'POSSIBLY BREAK', 'Label': 'Failure_issue'}, {'Entity': 'PARTIAL LOSS OF THE BRAKE SYSTEM', 'Label': 'Failure_issue'}, {'Entity': 'ROTOR-CARRIER DETACHMENT', 'Label': 'Failure_issue'}, {'Entity': 'CRASH', 'Label': 'Failure_issue'}, {'Entity': 'DEALERS WILL REPLACE THE ROTOR-CARRIER ASSEMBLY', 'Label': 'Corrective_action'}, {'Entity': 'JANUARY 26, 2004', 'Label': 'Recall_date'}]"
39,"The potential loss of vehicle control due to the cracking of rotor-carriers in certain motorcycles equipped with optional brake rotor-carriers can lead to a serious accident. The detachment of the rotor-carriers during operation poses a significant risk of a crash. Mechanics will replace the rotor-carrier assembly to prevent any further issues. Owner notification for this corrective action started on January 26, 2004.","[{'Entity': 'rotor-carriers', 'Label': 'Component'}, {'Entity': 'cracking of rotor-carriers', 'Label': 'Failure_issue'}, {'Entity': 'loss of vehicle control', 'Label': 'Failure_issue'}, {'Entity': 'crash', 'Label': 'Failure_issue'}, {'Entity': 'mechanics will replace the rotor-carrier assembly', 'Label': 'Corrective_action'}, {'Entity': 'Jan 26, 2004', 'Label': 'Recall_date'}]"
